accidentId,region_id,relationship
AE_FIRE_EM_00275,REG_제주시_한경면,OCCURRED_IN_REGION
AE_FIRE_EM_00276,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00277,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00278,REG_제주시_건입동,OCCURRED_IN_REGION
AE_FIRE_EM_00279,REG_제주시_오라이동,OCCURRED_IN_REGION
AE_FIRE_EM_00280,REG_서귀포시_대정읍,OCCURRED_IN_REGION
AE_FIRE_EM_00281,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00282,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00283,REG_제주시_건입동,OCCURRED_IN_REGION
AE_FIRE_EM_00284,REG_제주시_삼도이동,OCCURRED_IN_REGION
AE_FIRE_EM_00285,REG_제주시_삼도일동,OCCURRED_IN_REGION
