placeId,riskScore,riskBasis,nearbyAnnualAvg,regionAnnualAvg
P440,0.4194,nearby_1km,5.5,4.0
P441,0.0823,nearby_1km,1.0,117.0
P442,0.3965,nearby_1km,5.0,2.33
P443,0.3957,region_only,0.0,27.0
P444,0.485,region_only,0.0,54.67
P445,0.485,region_only,0.0,54.67
P446,0.0,nearby_1km,0.5,103.67
P447,0.1982,nearby_1km,2.0,40.33
P448,0.1982,nearby_1km,2.0,117.0
P449,0.4961,nearby_1km,7.5,103.67
P450,0.0,nearby_1km,0.5,54.67
P451,0.0823,nearby_1km,1.0,14.33
P452,0.5825,region_only,0.0,117.0
P453,0.5825,region_only,0.0,117.0
P454,0.1461,nearby_1km,1.5,9.0
P455,0.0823,nearby_1km,1.0,2.67
P456,0.262,region_only,0.0,9.0
P457,0.262,region_only,0.0,9.0
P458,0.5669,region_only,0.0,103.67
P459,0.3142,nearby_1km,3.5,5.67
P460,0.2576,region_only,0.0,8.67
P461,0.0,nearby_1km,0.5,117.0
P462,0.6,region_only,0.0,134.0
P463,0.0823,nearby_1km,1.0,54.67
P464,0.1982,nearby_1km,2.0,40.33
P465,0.3965,nearby_1km,5.0,134.0
P466,0.0,nearby_1km,0.5,117.0
P467,0.3142,nearby_1km,3.5,114.0
P468,0.2423,nearby_1km,2.5,9.0
P469,0.485,region_only,0.0,54.67
P470,0.485,region_only,0.0,54.67
P471,0.0,nearby_1km,0.5,12.67
P472,0.0823,nearby_1km,1.0,114.0
P473,0.2805,nearby_1km,3.0,134.0
P474,0.5825,region_only,0.0,117.0
P475,0.4194,nearby_1km,5.5,26.67
P476,0.2576,region_only,0.0,8.67
P477,0.1461,nearby_1km,1.5,134.0
P478,0.6,region_only,0.0,134.0
P479,0.3965,nearby_1km,5.0,117.0
P480,0.4865,region_only,0.0,55.33
P481,0.296,region_only,0.0,12.0
P482,0.2892,region_only,0.0,11.33
P483,0.3957,region_only,0.0,27.0
P484,0.0823,nearby_1km,1.0,4.67
P485,0.4171,region_only,0.0,32.0
P486,0.3957,region_only,0.0,27.0
P487,0.1192,region_only,0.0,2.33
P488,0.2423,nearby_1km,2.5,4.67
P489,0.6,region_only,0.0,134.0
P490,0.3142,nearby_1km,3.5,54.67
P491,0.3988,region_only,0.0,27.67
P492,0.0,nearby_1km,0.5,114.0
P493,0.1461,nearby_1km,1.5,32.0
P494,0.0,nearby_1km,0.5,32.0
P495,0.4406,nearby_1km,6.0,57.0
P496,0.1461,nearby_1km,1.5,12.67
P497,0.0823,nearby_1km,1.0,103.67
P498,0.564,region_only,0.0,101.33
P499,0.3716,nearby_1km,4.5,101.33
P500,0.296,region_only,0.0,12.0
P501,0.4171,region_only,0.0,32.0
P502,0.0823,nearby_1km,1.0,114.0
P503,0.0823,nearby_1km,1.0,117.0
P504,0.485,region_only,0.0,54.67
P505,0.1883,region_only,0.0,4.67
P506,0.0823,nearby_1km,1.0,117.0
P507,0.5792,region_only,0.0,114.0
P508,0.1982,nearby_1km,2.0,32.0
P509,0.4903,region_only,0.0,57.0
P510,0.1461,nearby_1km,1.5,103.67
P511,0.4406,nearby_1km,6.0,114.0
P512,0.0,nearby_1km,0.5,12.0
P513,0.0,nearby_1km,0.5,27.0
P514,0.1461,nearby_1km,1.5,120.33
P515,0.0,nearby_1km,0.5,32.0
P516,0.3965,nearby_1km,5.0,134.0
P517,0.3965,nearby_1km,5.0,114.0
P518,0.3443,nearby_1km,4.0,117.0
P519,0.0823,nearby_1km,1.0,114.0
