newsPid,placeName,kgPid,matchType,kgName,codeShift
P328,애월해안도로 7(애월항 입구),P304,PARTIAL,애월해안도로,-24
P328,애월해안도로 8(애월항),P304,PARTIAL,애월해안도로,-24
P329,제주국제컨벤션센터 icc,P305,EXACT,제주국제컨벤션센터 icc,-24
P330,1112도로,P306,EXACT,1112도로,-24
P332,성읍목장,P308,EXACT,성읍목장,-24
P333,장생의 숲길,P309,EXACT,장생의 숲길,-24
P334,제주곶자왈도립공원,P310,EXACT,제주곶자왈도립공원,-24
P334,제주곶자왈도립공원 2(숲길),P310,PARTIAL,제주곶자왈도립공원,-24
P335,강정천유원지,P311,EXACT,강정천유원지,-24
P336,남원큰엉해변,P312,EXACT,남원큰엉해변,-24
P337,비양도등대,P313,EXACT,비양도등대,-24
P340,도령모루,P314,EXACT,도령모루,-26
P340,도령모루 3(해태동산 인근 공항로),P314,PARTIAL,도령모루,-26
P341,9연대 본부 옛터,P315,EXACT,9연대 본부 옛터,-26
P342,고내봉(고내오름+고니오름+ 망오름),P316,EXACT,고내봉(고내오름+고니오름+ 망오름),-26
P343,용담레포츠공원,P317,EXACT,용담레포츠공원,-26
P344,월령포구,P318,EXACT,월령포구,-26
P345,제주올레 1코스,P319,EXACT,제주올레 1코스,-26
P346,화북환해장성,P320,EXACT,화북환해장성,-26
P347,산방산 용머리해안 지질트레일A코스,P321,EXACT,산방산 용머리해안 지질트레일A코스,-26
P348,새섬,P322,EXACT,새섬,-26
P349,소수산봉(족은물뫼),P323,EXACT,소수산봉(족은물뫼),-26
P350,오조리조개체험어장,P324,EXACT,오조리조개체험어장,-26
P351,제주올레 16코스,P325,EXACT,제주올레 16코스,-26
P352,제주올레 21코스,P326,EXACT,제주올레 21코스,-26
P353,터진목&성산면 4.3희생자 유령비,P327,EXACT,터진목&성산면 4.3희생자 유령비,-26
P354,곽지패총,P328,EXACT,곽지패총,-26
P355,제주올레 5코스,P329,EXACT,제주올레 5코스,-26
P356,천지연기정길,P330,EXACT,천지연기정길,-26
P357,한림항,P331,EXACT,한림항,-26
P358,현사포구,P332,EXACT,현사포구,-26
P359,남두연대,P333,EXACT,남두연대,-26
P360,도두해안도로,P334,EXACT,도두해안도로,-26
P361,모충사,P335,EXACT,모충사,-26
P362,성산오조리해안,P336,EXACT,성산오조리해안,-26
P363,안덕면 사계어촌계,P337,EXACT,안덕면 사계어촌계,-26
P363,안덕면 사계어촌계 2(사계포구 해변),P337,PARTIAL,안덕면 사계어촌계,-26
P364,어영공원,P338,EXACT,어영공원,-26
P365,월령선인장군락지,P339,EXACT,월령선인장군락지,-26
P366,협재포구,P340,EXACT,협재포구,-26
P366,협재포구 5 (마을어장),P340,PARTIAL,협재포구,-26
P367,대정해변(하모해변),P341,EXACT,대정해변(하모해변),-26
P370,삼양검은모래축제,P343,EXACT,삼양검은모래축제,-27
P372,심헌갤러리,P345,EXACT,심헌갤러리,-27
P373,제주교육박물관,P346,EXACT,제주교육박물관,-27
P374,최남단방어축제,P347,EXACT,최남단방어축제,-27
P375,금능석물원,P348,EXACT,금능석물원,-27
P376,송악산,P349,EXACT,송악산,-27
P377,제주불교성지 순례길 절로 가는길 - 지계의 길,P350,EXACT,제주불교성지 순례길 절로 가는길 - 지계의 길,-27
P378,김녕해안도로,P351,EXACT,김녕해안도로,-27
P379,민속자연사박물관,P352,EXACT,민속자연사박물관,-27
P380,용담/용두암해안도로,P353,EXACT,용담/용두암해안도로,-27
P381,제주해녀축제,P354,EXACT,제주해녀축제,-27
P382,중문관광단지,P355,EXACT,중문관광단지,-27
P382,중문관광단지 4(퍼시픽랜드 입구),P355,PARTIAL,중문관광단지,-27
P383,볼레낭길(보목포로),P356,EXACT,볼레낭길(보목포로),-27
P384,서귀포해안,P357,EXACT,서귀포해안,-27
P385,제주올레 7코스,P358,EXACT,제주올레 7코스,-27
P387,황우지해안,P359,EXACT,황우지해안,-28
P387,황우지해안 2(선녀탕),P359,PARTIAL,황우지해안,-28
P387,황우지해안 3(선녀탕),P359,PARTIAL,황우지해안,-28
P387,황우지해안 4(선녀탕 해상),P359,PARTIAL,황우지해안,-28
P388,걸매생태공원,P360,EXACT,걸매생태공원,-28
P389,구엄리돌염전,P361,EXACT,구엄리돌염전,-28
P390,구엄포구,P362,EXACT,구엄포구,-28
P391,그린크루즈(산방산유람선),P363,EXACT,그린크루즈(산방산유람선),-28
P392,미천굴,P364,EXACT,미천굴,-28
P393,서복전시관,P365,EXACT,서복전시관,-28
P394,서영아리오름/용와이오름,P366,EXACT,서영아리오름/용와이오름,-28
P395,신창리포구,P367,EXACT,신창리포구,-28
P396,외돌개,P368,EXACT,외돌개,-28
P397,일출랜드,P369,EXACT,일출랜드,-28
P399,하멜기념비,P371,EXACT,하멜기념비,-28
P400,황우지해안 열두굴,P372,EXACT,황우지해안 열두굴,-28
P401,개오리오름,P373,EXACT,개오리오름,-28
P402,고내리포구,P374,EXACT,고내리포구,-28
P403,금룡사,P569,EXACT,금룡사,166
P404,금룡사 템플스테이,P376,EXACT,금룡사템플스테이,-28
P405,김녕해수욕장야영장,P377,EXACT,김녕해수욕장야영장,-28
P406,남원문화의거리,P378,EXACT,남원문화의거리,-28
P408,산방굴사,P380,EXACT,산방굴사,-28
P409,옹포천,P381,EXACT,옹포천,-28
P410,최영장군사당,P382,EXACT,최영장군사당,-28
P411,추사유배길-1코스 집념의길,P383,EXACT,추사유배길-1코스 집념의길,-28
P412,추사유배길-2코스 인연의길,P384,EXACT,추사유배길-2코스 인연의길,-28
P413,추사유배길-3코스 사색의길,P385,EXACT,추사유배길-3코스 사색의길,-28
P414,통일관,P386,EXACT,통일관,-28
P415,4.3해원방사탑,P387,EXACT,4.3해원방사탑,-28
P416,귀덕연대,P388,EXACT,귀덕연대,-28
P417,그리스신화박물관/트릭아이미술관,P389,EXACT,그리스신화박물관/트릭아이미술관,-28
P418,독자봉,P390,EXACT,독자봉,-28
P419,동알오름,P391,EXACT,동알오름,-28
P420,물메(물미·수산봉),P392,EXACT,물메(물미·수산봉),-28
P421,청수성결교회,P393,EXACT,청수성결교회,-28
P422,대정면 4.3사건 위령비,P394,EXACT,대정면 4.3사건 위령비,-28
P423,제주국제관악제,P395,EXACT,제주국제관악제,-28
P424,제주국제마라톤축제,P396,EXACT,제주국제마라톤축제,-28
P425,제주문예회관,P397,EXACT,제주문예회관,-28
P426,종달리해변,P398,EXACT,종달리해변,-28
P427,기독교순례길 4코스(화해의길),P399,EXACT,기독교순례길 4코스(화해의길),-28
P428,김녕 청굴물,P400,EXACT,김녕 청굴물,-28
P429,신산공원,P401,EXACT,신산공원,-28
P430,온평리 환해장성,P402,EXACT,온평리 환해장성,-28
P431,한모살(표선백사장),P403,EXACT,한모살(표선백사장),-28
P432,사라오름,P404,EXACT,사라오름,-28
P433,연대포구,P405,EXACT,연대포구,-28
P434,이호테우말등대,P406,EXACT,이호테우말등대,-28
P435,입산봉(삿갓오름),P407,EXACT,입산봉(삿갓오름),-28
P437,단산과 방사탑 1(단산·바굼지오름 암벽구간),P741,PARTIAL,단산(바굼지오름),304
P440,사계해안도로,P410,EXACT,사계해안도로,-30
P441,성산.오조 지질트레일,P411,EXACT,성산.오조 지질트레일,-30
P442,소인국테마파크,P412,EXACT,소인국테마파크,-30
P447,우도(해양도립공원),P414,EXACT,우도(해양도립공원),-33
P448,제주올레 14-1코스,P415,EXACT,제주올레 14-1코스,-33
P449,가파도 마라도 정기여객선,P416,EXACT,가파도 마라도 정기여객선,-33
P450,거믄여해안경승지,P417,EXACT,거믄여해안경승지,-33
P451,고내리 다락쉼터,P418,EXACT,고내리 다락쉼터,-33
P452,남원 위미2리 어촌계,P419,EXACT,남원 위미2리 어촌계,-33
P453,영등할망 신화공원,P420,EXACT,영등할망 신화공원,-33
P454,조천비석거리,P421,EXACT,조천비석거리,-33
P456,창고천생태공원,P423,EXACT,창고천생태공원,-33
P457,통오름,P424,EXACT,통오름,-33
P458,1100고지(휴게소),P425,PARTIAL,1100고지,-33
P459,1100고지습지,P743,EXACT,1100고지습지,284
P461,수목원테마파크(야시장&LED공원),P426,EXACT,수목원테마파크(야시장&LED공원),-35
P462,수산저수지,P427,EXACT,수산저수지,-35
P463,아이스뮤지엄,P428,EXACT,아이스뮤지엄,-35
P465,진아영 할머니 집터,P430,EXACT,진아영 할머니 집터,-35
P466,플레이박스 VR,P707,EXACT,플레이박스VR,241
P467,김녕 지질트레일 A코스,P431,EXACT,김녕 지질트레일 A코스,-36
P468,김녕 지질트레일 B코스,P432,EXACT,김녕 지질트레일 B코스,-36
P469,김녕요트투어,P433,EXACT,김녕요트투어,-36
P470,돔베낭골,P434,EXACT,돔베낭골,-36
P472,막숙,P435,EXACT,막숙,-37
P473,민악,P436,EXACT,민악,-37
P475,법환포구,P438,EXACT,법환포구,-37
P476,삼사석,P439,EXACT,삼사석,-37
P477,쇠소깍해변,P440,EXACT,쇠소깍해변,-37
P478,안덕계곡 (샛소다리),P441,PARTIAL,안덕계곡,-37
P479,알작지해변,P442,EXACT,알작지해변,-37
P480,우도등대,P443,EXACT,우도등대,-37
P481,제주추사관,P444,EXACT,제주추사관,-37
P482,추사적거지,P445,EXACT,추사적거지,-37
P483,김녕항,P446,EXACT,김녕항,-37
P484,신비의도로,P447,EXACT,신비의도로,-37
P484,신비의도로 3(도깨비도로 구간),P447,PARTIAL,신비의도로,-37
P485,임문숙 가족 헛묘,P448,EXACT,임문숙 가족 헛묘,-37
P486,제주올레 20코스,P449,EXACT,제주올레 20코스,-37
P487,한남의 숙터,P450,EXACT,한남의 숙터,-37
P488,노형슈퍼마켙,P451,EXACT,노형슈퍼마켙,-37
P489,도너리오름,P452,EXACT,도너리오름,-37
P490,설쿰바당,P453,EXACT,설쿰바당,-37
P491,오백나한,P454,EXACT,오백나한,-37
P492,월라사,P455,EXACT,월라사,-37
P493,제주불교성지 순례길 절로 가는길 - 정진의 길,P456,EXACT,제주불교성지 순례길 절로 가는길 - 정진의 길,-37
P494,존자암지,P457,EXACT,존자암지,-37
P495,종달리해안도로,P458,EXACT,종달리해안도로,-37
P496,중문미로파크,P459,EXACT,중문미로파크,-37
P497,추자등대,P460,EXACT,추자등대,-37
P499,갑자기 히어로즈 벽화길,P462,EXACT,갑자기 히어로즈 벽화길,-37
P500,남문지못,P463,EXACT,남문지못,-37
P501,넥슨컴퓨터박물관,P464,EXACT,넥슨컴퓨터박물관,-37
P502,동귀방파제,P465,EXACT,동귀방파제,-37
P503,병악,P466,EXACT,병악,-37
P504,삼다수숲길 지질트레일 3코스,P467,EXACT,삼다수숲길 지질트레일 3코스,-37
P505,서귀포천문과학문화관,P468,EXACT,서귀포천문과학문화관,-37
P506,송계순집터,P469,EXACT,송계순집터,-37
P507,송죽사터,P470,EXACT,송죽사터,-37
P508,아프리카박물관,P471,EXACT,아프리카박물관,-37
P509,연북정,P472,EXACT,연북정,-37
P511,제주요도자기문화박물관,P473,EXACT,제주요도자기문화박물관,-38
P512,피규어뮤지엄제주,P474,EXACT,피규어뮤지엄제주,-38
P513,한국야구명예전당(야구박물관),P475,EXACT,한국야구명예전당(야구박물관),-38
P514,후포해변,P476,EXACT,후포해변,-38
P515,광령귤나무,P477,EXACT,광령귤나무,-38
P516,금성비단교산책길,P478,EXACT,금성비단교산책길,-38
P517,대평포구,P479,EXACT,대평포구,-38
P518,서귀포항,P480,EXACT,서귀포항,-38
P519,세계조가비박물관,P481,EXACT,세계조가비박물관,-38
P520,소라의성,P482,PARTIAL,소라의성 시민 북카페,-38
P521,소머리오름,P483,EXACT,소머리오름,-38
P522,소천지,P484,EXACT,소천지,-38
P523,엉알해안산책로,P485,EXACT,엉알해안산책로,-38
P524,우도봉,P486,EXACT,우도봉,-38
P525,이호-내도 해안도로,P487,EXACT,이호-내도 해안도로,-38
P526,제주올레 6코스,P488,EXACT,제주올레 6코스,-38
P527,금성포구,P489,EXACT,금성포구,-38
P528,동일리포구,P490,EXACT,동일리포구,-38
P528,동일리포구 2 (갯바위),P490,PARTIAL,동일리포구,-38
P529,베릿네오름,P491,EXACT,베릿네오름,-38
P530,선흘1리,P492,EXACT,선흘1리,-38
P531,신창~차귀해안도로,P493,EXACT,신창~차귀해안도로,-38
P532,싱게물공원,P494,EXACT,싱게물공원,-38
P534,위미항,P495,EXACT,위미항,-39
P535,제주민속오일장,P031,EXACT,제주민속오일장,-504
P536,조안베어뮤지엄,P496,EXACT,조안베어뮤지엄,-40
P537,감수굴 밭담길,P497,EXACT,감수굴 밭담길,-40
P538,금악오름(왕매),P498,EXACT,금악오름(왕매),-40
P539,만세동산,P507,PARTIAL,조천만세동산,-32
P540,명월성지,P499,EXACT,명월성지,-41
P541,서귀포예술의전당,P500,EXACT,서귀포예술의전당,-41
P542,자구내포구,P501,EXACT,자구내포구,-41
