placeId,nearbyAccidentRadius_m,nearbyAccidentPeriod,nearbyAccidentTotal,nearbyAccidentTypes,nearbyAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,nearbyRiskScore
P077,1000,2020-2021,90,"RP_MACHINE_01:34, RP_SLIP_TERRAIN:33, RP_TRAFFIC_01:13, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:2, RP_CO_01:1",45.0,4,0,1,3,2,0,0,34,33,13,0.5488
P078,1000,2020-2021,7,"RP_TRAFFIC_01:5, RP_ANIMAL_01:1, RP_SLIP_TERRAIN:1",3.5,1,0,0,0,0,0,0,0,1,5,0.0427
P079,1000,2020-2021,11,"RP_TRAFFIC_01:8, RP_SLIP_TERRAIN:2, RP_MACHINE_01:1",5.5,0,0,0,0,0,0,0,1,2,8,0.0671
P080,1000,2020-2021,77,"RP_SLIP_TERRAIN:29, RP_MACHINE_01:26, RP_TRAFFIC_01:13, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:1, RP_CO_01:1",38.5,4,0,1,3,1,0,0,26,29,13,0.4695
P081,1000,2020-2021,26,"RP_SLIP_TERRAIN:13, RP_MACHINE_01:9, RP_TRAFFIC_01:3, RP_CO_01:1",13.0,0,0,1,0,0,0,0,9,13,3,0.1585
P082,1000,2020-2021,89,"RP_SLIP_TERRAIN:32, RP_MACHINE_01:32, RP_TRAFFIC_01:14, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:3, RP_CO_01:1",44.5,4,0,1,3,3,0,0,32,32,14,0.5427
P083,1000,2020-2021,47,"RP_TRAFFIC_01:22, RP_SLIP_TERRAIN:13, RP_MACHINE_01:9, RP_FALL_CLIFF:2, RP_ANIMAL_01:1",23.5,1,0,0,0,2,0,0,9,13,22,0.2866
P084,1000,2020-2021,48,"RP_SLIP_TERRAIN:21, RP_MACHINE_01:10, RP_TRAFFIC_01:8, RP_FALL_CLIFF:4, RP_ANIMAL_01:4, RP_CO_01:1",24.0,4,0,1,0,4,0,0,10,21,8,0.2927
P086,1000,2020-2021,18,"RP_TRAFFIC_01:14, RP_SLIP_TERRAIN:4",9.0,0,0,0,0,0,0,0,0,4,14,0.1098
P087,1000,2020-2021,6,"RP_TRAFFIC_01:4, RP_ANIMAL_01:1, RP_SLIP_TERRAIN:1",3.0,1,0,0,0,0,0,0,0,1,4,0.0366
