placeId,recentAreaTotal,recentAreaTypes,recentAreaPeriod,recentAreaBasis
P538,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P579,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P602,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P606,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P628,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P632,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P633,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P752,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P764,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P782,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P783,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P787,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
