accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00297,P377,OCCURRED_AT,17
AE_FIRE_PT_00298,P835,OCCURRED_AT,470
AE_FIRE_PT_00299,P835,OCCURRED_AT,470
AE_FIRE_PT_00300,P835,OCCURRED_AT,470
AE_FIRE_PT_00301,P835,OCCURRED_AT,470
AE_FIRE_PT_00302,P699,OCCURRED_AT,259
AE_FIRE_PT_00303,P499,OCCURRED_AT,344
AE_FIRE_PT_00305,P531,OCCURRED_AT,796
AE_FIRE_PT_00307,P598,OCCURRED_AT,935
AE_FIRE_PT_00308,P738,OCCURRED_AT,687
AE_FIRE_PT_00309,P046,OCCURRED_AT,72
AE_FIRE_PT_00310,P070,OCCURRED_AT,77
AE_FIRE_PT_00311,P004,OCCURRED_AT,47
AE_FIRE_PT_00312,P679,OCCURRED_AT,742
AE_FIRE_PT_00313,P717,OCCURRED_AT,337
AE_FIRE_PT_00314,P017,OCCURRED_AT,283
AE_FIRE_PT_00315,P212,OCCURRED_AT,937
AE_FIRE_PT_00316,P212,OCCURRED_AT,937
AE_FIRE_PT_00317,P171,OCCURRED_AT,828
AE_FIRE_PT_00318,P188,OCCURRED_AT,228
AE_FIRE_PT_00319,P975,OCCURRED_AT,925
AE_FIRE_PT_00320,P048,OCCURRED_AT,427
AE_FIRE_PT_00321,P1027,OCCURRED_AT,565
AE_FIRE_PT_00322,P1027,OCCURRED_AT,565
AE_FIRE_PT_00323,P1027,OCCURRED_AT,565
AE_FIRE_PT_00324,P465,OCCURRED_AT,177
AE_FIRE_PT_00325,P070,OCCURRED_AT,45
AE_FIRE_PT_00326,P219,OCCURRED_AT,137
AE_FIRE_PT_00327,P973,OCCURRED_AT,242
AE_FIRE_PT_00328,P356,OCCURRED_AT,128
AE_FIRE_PT_00329,P991,OCCURRED_AT,117
AE_FIRE_PT_00330,P989,OCCURRED_AT,150
AE_FIRE_PT_00331,P070,OCCURRED_AT,10
AE_FIRE_PT_00332,P070,OCCURRED_AT,10
AE_FIRE_PT_00334,P113,OCCURRED_AT,71
AE_FIRE_PT_00335,P388,OCCURRED_AT,314
AE_FIRE_PT_00337,P167,OCCURRED_AT,76
AE_FIRE_PT_00338,P422,OCCURRED_AT,674
AE_FIRE_PT_00339,P698,OCCURRED_AT,366
AE_FIRE_PT_00340,P336,OCCURRED_AT,696
AE_FIRE_PT_00342,P999,OCCURRED_AT,107
AE_FIRE_PT_00343,P999,OCCURRED_AT,107
AE_FIRE_PT_00344,P297,OCCURRED_AT,0
AE_FIRE_PT_00345,P108,OCCURRED_AT,571
AE_FIRE_PT_00346,P479,OCCURRED_AT,174
AE_FIRE_PT_00347,P155,OCCURRED_AT,197
AE_FIRE_PT_00348,P002,OCCURRED_AT,171
AE_FIRE_PT_00349,P869,OCCURRED_AT,50
AE_FIRE_PT_00350,P1008,OCCURRED_AT,500
AE_FIRE_PT_00351,P178,OCCURRED_AT,115
AE_FIRE_PT_00352,P490,OCCURRED_AT,252
AE_FIRE_PT_00353,P490,OCCURRED_AT,252
AE_FIRE_PT_00354,P490,OCCURRED_AT,473
AE_FIRE_PT_00355,P345,OCCURRED_AT,70
AE_FIRE_PT_00356,P440,OCCURRED_AT,391
