placeId,activityId
P677,ACT_043
P678,ACT_043
P679,ACT_008
P680,ACT_008
P681,ACT_008
P682,ACT_008
P683,ACT_008
P684,ACT_008
P685,ACT_008
P686,ACT_008
P687,ACT_008
P688,ACT_008
P689,ACT_008
P690,ACT_008
P691,ACT_008
P692,ACT_008
P693,ACT_008
P694,ACT_008
P695,ACT_008
P696,ACT_008
P697,ACT_008
P698,ACT_008
P699,ACT_008
P700,ACT_008
P701,ACT_008
P702,ACT_008
P703,ACT_008
P704,ACT_044
P705,ACT_045
P705,ACT_010
P706,ACT_046
P706,ACT_010
P707,ACT_047
P708,ACT_048
P709,ACT_049
P710,ACT_050
P711,ACT_051
P712,ACT_052
P712,ACT_010
P713,ACT_053
P714,ACT_054
P715,ACT_008
P716,ACT_008
P717,ACT_008
P718,ACT_008
P719,ACT_008
P720,ACT_008
P721,ACT_008
P722,ACT_008
P723,ACT_008
P724,ACT_008
P725,ACT_008
P726,ACT_008
P727,ACT_008
P728,ACT_008
P729,ACT_021
P729,ACT_008
P730,ACT_004
P730,ACT_005
P731,ACT_003
P731,ACT_004
P732,ACT_003
P732,ACT_004
P733,ACT_003
P733,ACT_004
P734,ACT_003
P734,ACT_004
P735,ACT_003
P735,ACT_004
P736,ACT_055
P737,ACT_003
P738,ACT_008
P738,ACT_010
P739,ACT_019
P739,ACT_056
P740,ACT_019
P740,ACT_056
P741,ACT_019
P741,ACT_056
P742,ACT_019
P742,ACT_056
P743,ACT_039
P743,ACT_005
P744,ACT_019
P744,ACT_011
P745,ACT_019
P745,ACT_011
P746,ACT_019
P746,ACT_011
P747,ACT_019
P747,ACT_011
P748,ACT_019
P748,ACT_011
P749,ACT_019
P749,ACT_011
P750,ACT_019
P750,ACT_011
P751,ACT_019
P751,ACT_011
P752,ACT_019
P752,ACT_011
P753,ACT_019
P753,ACT_011
P754,ACT_019
P754,ACT_011
P755,ACT_019
P755,ACT_011
P756,ACT_019
P756,ACT_011
P757,ACT_019
P757,ACT_011
P758,ACT_019
P758,ACT_011
P759,ACT_019
P759,ACT_011
P760,ACT_019
P760,ACT_011
P761,ACT_019
P761,ACT_011
P762,ACT_019
P762,ACT_011
P763,ACT_019
P763,ACT_011
P764,ACT_019
P764,ACT_011
P765,ACT_019
P765,ACT_011
P766,ACT_019
P766,ACT_011
P767,ACT_019
P767,ACT_011
P768,ACT_019
P768,ACT_011
P769,ACT_019
P769,ACT_011
P770,ACT_019
P770,ACT_011
P771,ACT_019
P771,ACT_011
P772,ACT_019
P772,ACT_011
P773,ACT_019
P773,ACT_011
P774,ACT_019
P774,ACT_011
P775,ACT_019
P775,ACT_011
P776,ACT_019
P776,ACT_011
P777,ACT_019
P777,ACT_011
P778,ACT_019
P778,ACT_011
P779,ACT_019
P779,ACT_011
P780,ACT_019
P780,ACT_011
P781,ACT_019
P781,ACT_011
P782,ACT_019
P782,ACT_011
P783,ACT_019
P783,ACT_011
P784,ACT_019
P784,ACT_011
P785,ACT_019
P785,ACT_011
P786,ACT_019
P786,ACT_011
P787,ACT_019
P787,ACT_011
P788,ACT_019
P788,ACT_011
P789,ACT_019
P789,ACT_011
P790,ACT_019
P790,ACT_011
P791,ACT_019
P791,ACT_011
P792,ACT_019
P792,ACT_011
P793,ACT_019
P793,ACT_011
P794,ACT_019
P794,ACT_011
P795,ACT_019
P795,ACT_011
P796,ACT_019
P796,ACT_011
P797,ACT_019
P797,ACT_011
P798,ACT_057
P798,ACT_018
P799,ACT_005
P799,ACT_039
P800,ACT_005
P800,ACT_039
P801,ACT_005
P801,ACT_039
P802,ACT_005
P802,ACT_039
P803,ACT_005
P803,ACT_008
P804,ACT_005
P804,ACT_008
P805,ACT_005
P805,ACT_008
P806,ACT_005
P806,ACT_008
P807,ACT_005
P807,ACT_008
P808,ACT_005
P808,ACT_008
P809,ACT_005
P809,ACT_008
P810,ACT_005
P810,ACT_008
P811,ACT_005
P811,ACT_008
P812,ACT_005
P812,ACT_008
P813,ACT_005
P813,ACT_039
P814,ACT_005
P814,ACT_039
P815,ACT_005
P815,ACT_008
P816,ACT_005
P816,ACT_008
P817,ACT_005
P817,ACT_008
P818,ACT_005
P818,ACT_008
P819,ACT_058
P819,ACT_008
P820,ACT_058
P820,ACT_008
P821,ACT_058
P821,ACT_008
P822,ACT_005
P822,ACT_008
P823,ACT_058
P823,ACT_008
P824,ACT_059
P824,ACT_005
P825,ACT_060
P825,ACT_008
P826,ACT_060
P826,ACT_008
P827,ACT_060
P827,ACT_008
P828,ACT_060
P828,ACT_008
P829,ACT_060
P829,ACT_008
P830,ACT_060
P830,ACT_008
P831,ACT_061
P831,ACT_009
P832,ACT_061
P832,ACT_031
P832,ACT_062
P833,ACT_005
P833,ACT_039
P834,ACT_005
P834,ACT_039
P835,ACT_005
P835,ACT_039
P836,ACT_005
P836,ACT_039
P837,ACT_005
P837,ACT_039
P838,ACT_005
P838,ACT_039
P839,ACT_005
P839,ACT_039
P840,ACT_005
P840,ACT_039
P841,ACT_005
P841,ACT_039
P842,ACT_005
P842,ACT_039
P843,ACT_005
P843,ACT_039
P844,ACT_005
P844,ACT_039
P845,ACT_063
P845,ACT_005
P846,ACT_018
P846,ACT_022
P847,ACT_018
P847,ACT_022
P848,ACT_064
P848,ACT_005
P849,ACT_064
P849,ACT_005
P850,ACT_065
P850,ACT_005
P851,ACT_018
P852,ACT_018
P853,ACT_018
P854,ACT_018
P855,ACT_066
P855,ACT_067
P856,ACT_068
P856,ACT_005
P857,ACT_018
P857,ACT_005
P858,ACT_063
P858,ACT_005
P859,ACT_005
P859,ACT_011
P860,ACT_005
P860,ACT_011
P861,ACT_005
P861,ACT_011
P862,ACT_005
P862,ACT_011
P863,ACT_005
P863,ACT_011
P864,ACT_005
P864,ACT_011
P865,ACT_005
P865,ACT_011
P866,ACT_005
P866,ACT_011
P867,ACT_005
P867,ACT_011
P868,ACT_019
P868,ACT_011
P869,ACT_019
P869,ACT_011
P870,ACT_005
P870,ACT_011
P871,ACT_069
P871,ACT_005
P872,ACT_069
P872,ACT_005
P873,ACT_069
P873,ACT_005
P874,ACT_069
P874,ACT_005
P875,ACT_069
P875,ACT_005
P876,ACT_069
P876,ACT_005
P877,ACT_005
P877,ACT_011
P878,ACT_005
P878,ACT_011
P879,ACT_005
P879,ACT_011
P880,ACT_005
P880,ACT_011
P881,ACT_005
P881,ACT_011
P882,ACT_005
P882,ACT_011
P883,ACT_005
P883,ACT_011
P884,ACT_005
P884,ACT_011
P885,ACT_005
P885,ACT_011
P886,ACT_005
P886,ACT_070
P887,ACT_041
P887,ACT_005
P888,ACT_005
P888,ACT_070
P889,ACT_005
P889,ACT_070
P890,ACT_005
P890,ACT_070
P891,ACT_005
P891,ACT_011
P892,ACT_018
P893,ACT_018
P894,ACT_018
P895,ACT_018
P895,ACT_071
P896,ACT_072
P896,ACT_073
P897,ACT_018
P897,ACT_074
P898,ACT_018
P898,ACT_071
P899,ACT_018
P899,ACT_071
P900,ACT_005
P900,ACT_006
P901,ACT_005
P901,ACT_006
P902,ACT_005
P902,ACT_006
P903,ACT_005
P903,ACT_006
P904,ACT_005
P904,ACT_006
P905,ACT_005
P905,ACT_006
P906,ACT_018
P906,ACT_005
P907,ACT_005
P907,ACT_006
P908,ACT_005
P908,ACT_006
P909,ACT_005
P909,ACT_006
P910,ACT_005
P910,ACT_006
P911,ACT_075
P911,ACT_076
P912,ACT_075
P912,ACT_076
P913,ACT_018
P913,ACT_005
P914,ACT_018
P914,ACT_005
P915,ACT_018
P915,ACT_005
P916,ACT_018
P916,ACT_005
P917,ACT_018
P917,ACT_005
P918,ACT_018
P918,ACT_005
P919,ACT_018
P919,ACT_005
P920,ACT_018
P920,ACT_077
P921,ACT_018
P921,ACT_005
P922,ACT_018
P922,ACT_005
P923,ACT_018
P923,ACT_077
P924,ACT_018
P924,ACT_005
P925,ACT_018
P925,ACT_005
P926,ACT_018
P926,ACT_005
P927,ACT_018
P927,ACT_077
P928,ACT_010
P928,ACT_008
P929,ACT_010
P929,ACT_008
P930,ACT_010
P930,ACT_008
P931,ACT_010
