accidentId,risk_id,relationship,attribution
AE_FIRE_2020_07137,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07172,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07189,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07197,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07208,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07228,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07289,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07291,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07380,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07403,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07414,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07425,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07462,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07510,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07601,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07648,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07713,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07714,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07728,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07839,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07849,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_07938,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08136,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08149,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08211,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08361,RP_FALL_CLIFF,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08372,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08400,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08480,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08539,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08594,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08601,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08612,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08688,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08760,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08800,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08824,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08880,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08924,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08926,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08929,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08937,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08946,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_08994,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09031,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09121,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09201,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09279,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09343,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09358,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09359,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09392,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09444,RP_ANIMAL_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09445,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09500,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09504,RP_FALL_CLIFF,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09517,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09522,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09524,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09585,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09618,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09628,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09631,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09640,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09646,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09674,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09735,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09741,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09747,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09754,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09756,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09790,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09797,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09909,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09912,RP_DROWN_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09950,RP_SLIP_TERRAIN,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_09966,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_10107,RP_FALL_CLIFF,EVIDENCES,PLACE_CONFIRMED_FIRE
AE_FIRE_2020_10164,RP_MACHINE_01,EVIDENCES,PLACE_CONFIRMED_FIRE
