region_id,sigungu,emd,period,regionAccidentTotal,regionAccidentTypes,regionAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,regionRiskScore
REG_제주시_도련이동,제주시,도련이동,"2022-2023,2025",6,RP_TRAFFIC_01:6,2.0,0,0,0,0,0,0,0,0,0,6,0.008
REG_제주시_도련일동,제주시,도련일동,"2022-2023,2025",10,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:3, RP_FALL_CLIFF:1, RP_MACHINE_01:1",3.33,0,0,0,0,1,0,0,1,3,5,0.0133
REG_제주시_봉개동,제주시,봉개동,"2022-2023,2025",52,"RP_SLIP_TERRAIN:24, RP_TRAFFIC_01:22, RP_FALL_CLIFF:2, RP_MACHINE_01:2, RP_ANIMAL_01:1, RP_HEAT_02:1",17.33,1,0,0,0,2,0,1,2,24,22,0.0692
REG_제주시_삼도이동,제주시,삼도이동,"2022-2023,2025",80,"RP_SLIP_TERRAIN:32, RP_MACHINE_01:26, RP_TRAFFIC_01:13, RP_FALL_CLIFF:4, RP_ANIMAL_01:3, RP_FIRE_01:1, RP_HEAT_02:1",26.67,3,0,0,0,4,1,1,26,32,13,0.1065
REG_제주시_삼도일동,제주시,삼도일동,"2022-2023,2025",24,"RP_SLIP_TERRAIN:8, RP_MACHINE_01:7, RP_TRAFFIC_01:7, RP_CO_01:2",8.0,0,0,2,0,0,0,0,7,8,7,0.032
REG_제주시_삼양삼동,제주시,삼양삼동,"2022-2023,2025",2,"RP_TRAFFIC_01:1, RP_SLIP_TERRAIN:1",0.67,0,0,0,0,0,0,0,0,1,1,0.0027
REG_제주시_삼양이동,제주시,삼양이동,"2022-2023,2025",8,"RP_MACHINE_01:4, RP_TRAFFIC_01:2, RP_ANIMAL_01:1, RP_SLIP_TERRAIN:1",2.67,1,0,0,0,0,0,0,4,1,2,0.0107
REG_제주시_삼양일동,제주시,삼양일동,"2022-2023,2025",13,"RP_SLIP_TERRAIN:9, RP_ANIMAL_01:2, RP_MACHINE_01:2",4.33,2,0,0,0,0,0,0,2,9,0,0.0173
REG_제주시_아라이동,제주시,아라이동,"2022-2023,2025",7,"RP_TRAFFIC_01:4, RP_SLIP_TERRAIN:2, RP_MACHINE_01:1",2.33,0,0,0,0,0,0,0,1,2,4,0.0093
REG_제주시_아라일동,제주시,아라일동,"2022-2023,2025",35,"RP_TRAFFIC_01:20, RP_SLIP_TERRAIN:11, RP_FALL_CLIFF:4",11.67,0,0,0,0,4,0,0,0,11,20,0.0466
REG_제주시_애월읍,제주시,애월읍,"2022-2023,2025",751,"RP_TRAFFIC_01:349, RP_SLIP_TERRAIN:204, RP_MACHINE_01:120, RP_ANIMAL_01:33, RP_FALL_CLIFF:29, RP_DROWN_01:8, RP_CO_01:3, RP_HEAT_02:3, RP_FIRE_01:2",250.33,33,0,3,8,29,2,3,120,204,349,1.0
REG_제주시_연동,제주시,연동,"2022-2023,2025",313,"RP_SLIP_TERRAIN:141, RP_MACHINE_01:93, RP_TRAFFIC_01:70, RP_FALL_CLIFF:4, RP_CO_01:3, RP_FIRE_01:1, RP_ANIMAL_01:1",104.33,1,0,3,0,4,1,0,93,141,70,0.4168
REG_제주시_영평동,제주시,영평동,"2022-2023,2025",17,"RP_TRAFFIC_01:9, RP_MACHINE_01:5, RP_SLIP_TERRAIN:2, RP_ANIMAL_01:1",5.67,1,0,0,0,0,0,0,5,2,9,0.0227
REG_제주시_오등동,제주시,오등동,"2022-2023,2025",66,"RP_TRAFFIC_01:32, RP_SLIP_TERRAIN:27, RP_ANIMAL_01:4, RP_MACHINE_01:2, RP_FALL_CLIFF:1",22.0,4,0,0,0,1,0,0,2,27,32,0.0879
REG_제주시_오라삼동,제주시,오라삼동,"2022-2023,2025",7,"RP_TRAFFIC_01:4, RP_ANIMAL_01:1, RP_CO_01:1, RP_SLIP_TERRAIN:1",2.33,1,0,1,0,0,0,0,0,1,4,0.0093
REG_제주시_오라이동,제주시,오라이동,"2022-2023,2025",29,"RP_TRAFFIC_01:16, RP_MACHINE_01:6, RP_SLIP_TERRAIN:5, RP_ANIMAL_01:1, RP_COLD_01:1",9.67,1,1,0,0,0,0,0,6,5,16,0.0386
REG_제주시_오라일동,제주시,오라일동,"2022-2023,2025",28,"RP_TRAFFIC_01:13, RP_MACHINE_01:8, RP_SLIP_TERRAIN:5, RP_FALL_CLIFF:2",9.33,0,0,0,0,2,0,0,8,5,13,0.0373
REG_제주시_외도이동,제주시,외도이동,"2022-2023,2025",12,"RP_SLIP_TERRAIN:7, RP_TRAFFIC_01:4, RP_FALL_CLIFF:1",4.0,0,0,0,0,1,0,0,0,7,4,0.016
REG_제주시_외도일동,제주시,외도일동,"2022-2023,2025",27,"RP_SLIP_TERRAIN:18, RP_MACHINE_01:4, RP_TRAFFIC_01:3, RP_CO_01:1, RP_DROWN_01:1",9.0,0,0,1,1,0,0,0,4,18,3,0.036
REG_제주시_용강동,제주시,용강동,"2022-2023,2025",9,"RP_TRAFFIC_01:5, RP_ANIMAL_01:3, RP_SLIP_TERRAIN:1",3.0,3,0,0,0,0,0,0,0,1,5,0.012
REG_제주시_용담삼동,제주시,용담삼동,"2022-2023,2025",47,"RP_SLIP_TERRAIN:20, RP_TRAFFIC_01:12, RP_MACHINE_01:8, RP_DROWN_01:3, RP_FALL_CLIFF:2, RP_ANIMAL_01:1, RP_CO_01:1",15.67,1,0,1,3,2,0,0,8,20,12,0.0626
REG_제주시_용담이동,제주시,용담이동,"2022-2023,2025",120,"RP_SLIP_TERRAIN:54, RP_TRAFFIC_01:45, RP_MACHINE_01:12, RP_FALL_CLIFF:5, RP_CO_01:3, RP_DROWN_01:1",40.0,0,0,3,1,5,0,0,12,54,45,0.1598
REG_제주시_용담일동,제주시,용담일동,"2022-2023,2025",32,"RP_SLIP_TERRAIN:15, RP_TRAFFIC_01:7, RP_MACHINE_01:7, RP_FALL_CLIFF:2, RP_CO_01:1",10.67,0,0,1,0,2,0,0,7,15,7,0.0426
REG_제주시_우도면,제주시,우도면,"2022-2023,2025",245,"RP_TRAFFIC_01:166, RP_SLIP_TERRAIN:51, RP_MACHINE_01:15, RP_ANIMAL_01:12, RP_HEAT_02:1",81.67,12,0,0,0,0,0,1,15,51,166,0.3262
REG_제주시_월평동,제주시,월평동,"2022-2023,2025",11,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:4, RP_ANIMAL_01:1, RP_MACHINE_01:1",3.67,1,0,0,0,0,0,0,1,4,5,0.0147
REG_제주시_이도이동,제주시,이도이동,"2022-2023,2025",76,"RP_SLIP_TERRAIN:31, RP_TRAFFIC_01:25, RP_MACHINE_01:16, RP_FALL_CLIFF:3, RP_CO_01:1",25.33,0,0,1,0,3,0,0,16,31,25,0.1012
REG_제주시_이도일동,제주시,이도일동,"2022-2023,2025",21,"RP_SLIP_TERRAIN:12, RP_MACHINE_01:4, RP_TRAFFIC_01:3, RP_FALL_CLIFF:2",7.0,0,0,0,0,2,0,0,4,12,3,0.028
REG_제주시_이호이동,제주시,이호이동,"2022-2023,2025",13,"RP_TRAFFIC_01:6, RP_MACHINE_01:4, RP_SLIP_TERRAIN:3",4.33,0,0,0,0,0,0,0,4,3,6,0.0173
REG_제주시_이호일동,제주시,이호일동,"2022-2023,2025",41,"RP_MACHINE_01:13, RP_SLIP_TERRAIN:9, RP_FALL_CLIFF:7, RP_TRAFFIC_01:7, RP_ANIMAL_01:4, RP_CO_01:1",13.67,4,0,1,0,7,0,0,13,9,7,0.0546
REG_제주시_일도이동,제주시,일도이동,"2022-2023,2025",24,"RP_SLIP_TERRAIN:13, RP_TRAFFIC_01:6, RP_MACHINE_01:4, RP_CO_01:1",8.0,0,0,1,0,0,0,0,4,13,6,0.032
REG_제주시_일도일동,제주시,일도일동,"2022-2023,2025",25,"RP_SLIP_TERRAIN:12, RP_TRAFFIC_01:6, RP_MACHINE_01:6, RP_FALL_CLIFF:1",8.33,0,0,0,0,1,0,0,6,12,6,0.0333
REG_제주시_조천읍,제주시,조천읍,"2022-2023,2025",499,"RP_SLIP_TERRAIN:207, RP_TRAFFIC_01:145, RP_MACHINE_01:75, RP_FALL_CLIFF:30, RP_ANIMAL_01:22, RP_DROWN_01:8, RP_FIRE_01:5, RP_CO_01:3, RP_HEAT_02:3, RP_COLD_01:1",166.33,22,1,3,8,30,5,3,75,207,145,0.6644
REG_제주시_추자면,제주시,추자면,"2022-2023,2025",26,"RP_SLIP_TERRAIN:15, RP_MACHINE_01:6, RP_DROWN_01:2, RP_ANIMAL_01:2, RP_HEAT_02:1",8.67,2,0,0,2,0,0,1,6,15,0,0.0346
REG_제주시_한경면,제주시,한경면,"2022-2023,2025",175,"RP_TRAFFIC_01:65, RP_SLIP_TERRAIN:51, RP_MACHINE_01:29, RP_DROWN_01:11, RP_ANIMAL_01:10, RP_FALL_CLIFF:6, RP_CO_01:2, RP_HEAT_02:1",58.33,10,0,2,11,6,0,1,29,51,65,0.233
REG_제주시_한림읍,제주시,한림읍,"2022-2023,2025",475,"RP_SLIP_TERRAIN:170, RP_TRAFFIC_01:167, RP_MACHINE_01:78, RP_ANIMAL_01:31, RP_FALL_CLIFF:16, RP_DROWN_01:8, RP_CO_01:3, RP_HEAT_02:1, RP_FIRE_01:1",158.33,31,0,3,8,16,1,1,78,170,167,0.6325
REG_제주시_해안동,제주시,해안동,"2022-2023,2025",60,"RP_SLIP_TERRAIN:33, RP_TRAFFIC_01:16, RP_MACHINE_01:10, RP_CO_01:1",20.0,0,0,1,0,0,0,0,10,33,16,0.0799
REG_제주시_화북이동,제주시,화북이동,"2022-2023,2025",23,"RP_TRAFFIC_01:19, RP_MACHINE_01:3, RP_SLIP_TERRAIN:1",7.67,0,0,0,0,0,0,0,3,1,19,0.0306
REG_제주시_화북일동,제주시,화북일동,"2022-2023,2025",20,"RP_SLIP_TERRAIN:12, RP_MACHINE_01:4, RP_TRAFFIC_01:3, RP_CO_01:1",6.67,0,0,1,0,0,0,0,4,12,3,0.0266
REG_제주시_회천동,제주시,회천동,"2022-2023,2025",27,"RP_SLIP_TERRAIN:13, RP_TRAFFIC_01:6, RP_MACHINE_01:4, RP_ANIMAL_01:3, RP_FALL_CLIFF:1",9.0,3,0,0,0,1,0,0,4,13,6,0.036
