risk_id,placeId,relationship
RP_WIND_02,P284,APPLIES_TO
RP_WIND_02,P287,APPLIES_TO
RP_WIND_02,P300,APPLIES_TO
RP_WIND_02,P304,APPLIES_TO
RP_WIND_02,P307,APPLIES_TO
RP_WIND_02,P309,APPLIES_TO
RP_WIND_02,P312,APPLIES_TO
RP_WIND_02,P313,APPLIES_TO
RP_WIND_02,P316,APPLIES_TO
RP_WIND_02,P318,APPLIES_TO
RP_WIND_02,P319,APPLIES_TO
RP_WIND_02,P321,APPLIES_TO
RP_WIND_02,P322,APPLIES_TO
RP_WIND_02,P323,APPLIES_TO
RP_WIND_02,P325,APPLIES_TO
RP_WIND_02,P326,APPLIES_TO
RP_WIND_02,P329,APPLIES_TO
RP_WIND_02,P332,APPLIES_TO
RP_WIND_02,P334,APPLIES_TO
RP_WIND_02,P336,APPLIES_TO
RP_WIND_02,P340,APPLIES_TO
RP_WIND_02,P341,APPLIES_TO
RP_WIND_02,P350,APPLIES_TO
RP_WIND_02,P351,APPLIES_TO
RP_WIND_02,P353,APPLIES_TO
RP_WIND_02,P357,APPLIES_TO
RP_WIND_02,P358,APPLIES_TO
RP_WIND_02,P359,APPLIES_TO
RP_WIND_02,P362,APPLIES_TO
RP_WIND_02,P366,APPLIES_TO
RP_WIND_02,P367,APPLIES_TO
RP_WIND_02,P372,APPLIES_TO
RP_WIND_02,P373,APPLIES_TO
RP_WIND_02,P374,APPLIES_TO
RP_WIND_02,P379,APPLIES_TO
RP_WIND_02,P390,APPLIES_TO
RP_WIND_02,P391,APPLIES_TO
RP_WIND_02,P392,APPLIES_TO
RP_WIND_02,P398,APPLIES_TO
RP_WIND_02,P399,APPLIES_TO
RP_WIND_02,P404,APPLIES_TO
RP_WIND_02,P406,APPLIES_TO
RP_WIND_02,P407,APPLIES_TO
RP_WIND_02,P410,APPLIES_TO
RP_WIND_02,P411,APPLIES_TO
RP_WIND_02,P414,APPLIES_TO
RP_WIND_02,P415,APPLIES_TO
RP_WIND_02,P416,APPLIES_TO
RP_WIND_02,P417,APPLIES_TO
